amenity,total_count,low_review_count,high_review_count
Samsung or similar refrigerator,1,0,0
SEBAMED body soap,1,0,1
Onsite rooftop bar \u2014 cloudM Rooftop bar,1,0,0
Air hockey table,1,0,0
Valet parking \u2014 $90/day,1,0,0
Shower bathtub combo,1,0,0
Eletroclux oven,1,0,1
Supermarket brand shampoo shampoo,1,0,1
Consul gas stove,1,0,1
Divers  body soap,1,0,1
L'Occitane de Provence  conditioner,1,0,0
"52\"" HDTV with Netflix",1,0,1
Sabonete l\u00edquido Granado body soap,1,0,1
Paid parking garage off premises \u2013 MXN200 per day,1,0,1
Oatmeal + Coconut brands. body soap,1,0,1
Paid parking garage off premises \u2013 $3 per day,1,0,0
TV,1,0,0
Fisher & Paykel induction stove,1,0,1
Vegan high end brand body soap,1,0,1
Onsite rooftop bar \u2014 Bar ,1,0,0
Nightclub,1,0,0
20 spaces,1,0,0
TV with HBO Max,1,0,1
Lg refrigerator,1,0,1
Consul frost free refrigerator,1,0,1
Brands vary. shampoo,1,0,1
"46\"" HDTV",1,0,0
Rosa Venus body soap,1,0,1
Possibilit\u00e9 de ranger des produits dans le frigo refrigerator,1,0,1
Dedicated workspace: desk and table,1,0,0
L\u2019Occitane en Provence conditioner,1,0,1
Whirlpool stainless steel electric stove,1,0,1
Self-parking \u2014 $38/day,1,0,0
Valet parking \u2014 R$25/day,1,0,0
Onsite restaurant \u2014 Niwa Bistro Cafe,1,0,0
5 Plate gas hob  stainless steel gas stove,1,0,1
Paid parking garage on premises \u2013 $7 per day,1,0,1
Undercounter Refrigerator refrigerator,1,0,1
cooktop stainless steel gas stove,1,0,1
"165\"" HDTV with Netflix",1,0,1
"120\"" HDTV with standard cable",1,0,0
WOOLWORTHS shampoo,1,0,1
"116\"" HDTV with Netflix",1,0,0
Westinghouse electric oven,1,0,1
Siemens  stainless steel oven,1,0,1
Fragonard toiletries,1,0,0
Garnier-Thiebaut linens,1,0,0
Paid valet parking on premises \u2013 BRL60 per day,1,0,0
bose sound system with Bluetooth and aux,1,0,1
Libherr refrigerator,1,0,1
no Frigobar refrigerator,1,0,1
Ivory body soap,1,0,1
ORGANICO conditioner,1,0,1
Dispenser for shampoo & bodywash in shower shampoo,1,0,1
BRASTEMP gas stove,1,0,1
"41\"" HDTV with standard cable",1,0,1
7 Plantes Cien shampoo,1,0,1
Regular. conditioner,1,0,1
Hotplate induction  induction stove,1,0,1
Marshall Stockwell 2 sound system with Bluetooth and aux,1,0,0
Cook gas stove,1,0,1
Sharp French Door with Freezer  refrigerator,1,0,1
Arbonne body soap,1,0,0
var\u00eda body soap,1,0,1
Two plate electric stove electric stove,1,0,1
Fridgedare oven,1,0,1
Vo 5 shampoo,1,0,1
Mini Stove with 2 hot plates and small oven electric stove,1,0,1
Authentic Properties body soap,1,0,0
Paid parking lot on premises \u2013 BRL180 per stay,1,0,1
DEFY oven,1,0,1
Denon Bluetooth sound system,1,0,1
Sunlight body soap,1,0,0
Onsite restaurant \u2014 Clinton Hall & Rooftop Beer Garden,1,0,0
\u201cDermeze\u201d Moisturising Soap Free Wash body soap,1,0,1
ROSIERE oven,1,0,0
"35\"" HDTV with standard cable",1,0,1
Portable Induction 1 pot stove induction stove,1,0,1
sinfer stainless steel oven,1,0,1
1 fornello funzionante induction stove,1,0,1
Shared indoor lap pool,1,0,1
Vegan S\u0131v\u0131 Sabun  body soap,1,0,1
Oster  stainless steel oven,1,0,1
Esty stainless steel gas stove,1,0,1
Printer,1,0,0
"127\"" HDTV with HBO Max",1,0,1
Free toiletry samples. body soap,1,0,0
un kit completo solo para la primera noche shampoo,1,0,1
Gramophone + Vinil + Radio + CD sound system with aux,1,0,1
p&g or unilever products conditioner,1,0,1
headandshoulder shampoo,1,0,1
Self-parking \u2014 $19/day,1,0,0
Klipsch Bluetooth sound system,1,0,0
"20\"" HDTV with premium cable",1,0,1
Wifi \u2013 140 Mbps,1,0,1
Kerafix Shampoo creme sem sal (Euroderm) shampoo,1,0,1
Schwarzkopf conditioner,1,0,1
JBL,1,0,1
Paid parking lot on premises \u2013 10 spaces,1,0,0
MIELE stove,1,0,1
Pequeno,1,0,1
ICE Air conditioner,1,0,1
For sensitive skin body soap,1,0,1
samsung Bluetooth sound system,1,0,1
HDTV with Amazon Prime Video,1,0,1
Ar\u00e7elik stainless steel electric stove,1,0,1
Sunslik shampoo,1,0,0
both Grill & Steam ovens oven,1,0,1
"47\"" HDTV with Netflix",1,0,1
Glow Lab body soap,1,0,1
Free carport on premises \u2013 25 spaces,1,0,1
The White Company toiletries,1,0,0
"72\"" HDTV with Netflix",1,0,1
SMEG gas oven  stainless steel oven,1,0,1
REFRIGERADOR GRANDE COM FREEZER SUPERIOR refrigerator,1,0,1
Mini Four Moulinex oven,1,0,1
nous vous fournissons. conditioner,1,0,1
Prince body soap,1,0,1
Amazon Alexa Bluetooth sound system,1,0,1
"52\"" HDTV with Amazon Prime Video",1,0,1
elidor or pantene body soap,1,0,1
Zeytuni (Olive oil) shampoo,1,0,1
Sukin or similar brand shampoo,1,0,0
AVEDA shampoo,1,0,1
"27\"" HDTV",1,0,1
Onsite bar \u2014 Cafe,1,0,0
Continental breakfast available \u2014 \u20ac8 per person per day,1,0,0
Hisence refrigerator,1,0,0
"52\"" HDTV with standard cable",1,0,1
it varies body soap,1,0,1
La Dimora shampoo,1,0,1
petit flacon conditioner,1,0,0
Aspar conditioner,1,0,1
HiSense with icebox refrigerator,1,0,1
Wifi \u2013 67 Mbps,1,0,1
Toaster oven oven,1,0,1
Onsite restaurant \u2014 Crown Shy,1,0,0
Free toiletry samples. shampoo,1,0,0
Consul 280 L refrigerator,1,0,1
beko refrigerator,1,0,0
Ortigia conditioner,1,0,1
CocktailAudio X30 InStyle Speakers sound system with aux,1,0,1
Neutro,1,0,1
Onsite restaurant \u2014 Garden,1,0,0
Self-parking \u2014 \u20ac27/day,1,0,0
CONSUL  360 LITROS refrigerator,1,0,0
Frigidaire stainless steel stove,1,0,0
no probado en animales. body soap,1,0,1
cooktop 2 bocas electric stove,1,0,1
Electrolux Duplex com Freezer refrigerator,1,0,1
"36\"" TV",1,0,0
Its a hot plate stove,1,0,1
Generic Vegan conditioner,1,0,1
Onsite restaurant \u2014 Molyvos Greek Restaurant,1,0,0
Onsite bar \u2014 cloudM,1,0,0
BOSH stainless steel oven,1,0,0
Miele  stainless steel gas stove,1,0,1
Brastemp  gas stove,1,0,0
H&S shampoo,1,0,1
"120\"" TV with Netflix",1,0,1
Oyster stainless steel oven,1,0,1
Ines de La Fressange conditioner,1,0,1
Neutrogena Body Wash body soap,1,0,1
BOSCH gas stove,1,0,0
 THERE IS A CELLING FAN AN A PORTABLE AC IN THE BEDROOM conditioner,1,1,0
Paid parking lot on premises \u2013 AUD30 per day,1,0,1
Clothing storage: dresser and wardrobe,1,0,1
TRESemm\u00e9 conditioner,1,0,1
R\u00e9frigerateur cong\u00e9lateur marque Siemens refrigerator,1,0,1
Wifi \u2013 20 Mbps,1,0,0
Mabe. Capacity 93L refrigerator,1,0,1
Free driveway parking on premises \u2013 12 spaces,1,0,0
bio ( organic )  body soap,1,0,1
Due ripiani  refrigerator,1,0,0
Defy  Hob stainless steel gas stove,1,0,1
Continental breakfast available \u2014 \u20ac16 per person per day,1,0,0
Onsite restaurant \u2014 Mykonos Bleu Restaurant & Rooftop,1,0,0
Sonons sound system,1,0,1
alexa sound system,1,0,1
Thank You brand body soap,1,0,1
L'OREAL & FAITH in NATURE conditioner,1,0,1
Electric blinds,1,0,1
Argania conditioner,1,0,1
SAMSUNG refrigerator,1,0,1
Hamilton Beach oven,1,0,1
Paid parking lot on premises \u2013 3 spaces,1,0,1
Paid street parking off premises \u2013 BRL6 per day,1,0,1
Across stainless steel gas stove,1,0,1
Organics body soap,1,0,1
Miele x 3 oven,1,0,0
Onsite restaurant \u2014 Churrascaria Plataforma,1,0,0
Works well electric stove,1,0,1
"120\"" HDTV with Apple TV",1,0,1
Axe body soap,1,0,1
no probado en  animales. shampoo,1,0,1
MIELE oven,1,0,1
HDTV with Apple TV,1,0,1
miele stove,1,0,1
IKEA  sound system,1,0,1
hotelin markas\u0131 shampoo,1,0,1
GAS COOK TOP ONLY NO OVEN gas stove,1,0,1
"49\"" HDTV with premium cable",1,0,1
Deixamos um mini-sabonete Calgary,1,0,1
Geral electric stove,1,0,1
Paid street parking off premises \u2013 EUR7 per day,1,0,1
Wifi \u2013 220 Mbps,1,0,0
Paid parking garage off premises \u2013 $40 per day,1,0,1
Euro Gas stainless steel gas stove,1,0,0
HBO Max,1,0,1
various brands - liquid form body soap,1,0,0
Shared rooftop pool,1,0,0
smeg refrigerator,1,0,1
MITSUBISI refrigerator,1,0,0
enviro care body wash silicone free  body soap,1,0,1
Bosh oven,1,0,0
"32\"" TV with Apple TV",1,0,1
Puracy - natural plant based conditioner,1,0,0
Paid parking lot off premises \u2013 BRL3 per hour,1,0,1
Koblenz stainless steel oven,1,0,1
Massage room,1,0,0
"43\"" TV",1,0,1
samsung stainless steel gas stove,1,0,1
Smoking allowed,1,0,1
5 spaces,1,0,0
Eurogas electric oven and 5 plate gas top stove,1,0,1
Tiny Bar Fridge refrigerator,1,0,1
Bosch refrigerator,1,0,1
Brastemp Duplex refrigerator,1,0,0
Tipo amenities hotel body soap,1,0,1
undercounter oven,1,0,0
Liebherr + petit cong\u00e9lateur refrigerator,1,0,1
PRO LINE oven,1,0,1
DVD/Video player and screen set up in lounge sound system,1,0,1
Palmolive ou similar. body soap,1,0,1
Iwori - Beauty without Cruelty conditioner,1,0,1
Lagan  refrigerator,1,0,1
Bosch - Induction hob induction stove,1,0,1
SAMSUNG Double Door with Ice Maker refrigerator,1,0,0
Miele induction stove,1,0,0
Breakfast available \u2014 \u20ac10 per person per day,1,0,0
Lacanche oven,1,0,1
2 in 1. sound system with aux,1,0,1
Gorenge refrigerator,1,0,1
Miss Lynn shampoo,1,0,1
AMG oven,1,0,0
Port\u00e1til  electric stove,1,0,1
Keiji body soap,1,0,1
Free driveway parking on premises \u2013 5 spaces,1,0,1
Malin+Goetz toiletries,1,0,0
Natural Living shampoo,1,0,1
rosiere stainless steel induction stove,1,0,1
Pure body soap,1,0,0
el\u00e9trico novo stainless steel oven,1,0,1
Palmolive / Clear shampoo,1,0,1
Ancient Earth body soap,1,0,1
Elidor shampoo,1,0,1
Clean shampoo,1,0,1
Built-in sound system in the apartment. sound system,1,0,1
Self-parking \u2014 $38/stay,1,0,0
Super Flama gas stove,1,0,1
Aspar Botanical Hair Shampoo shampoo,1,0,1
Self-parking \u2014 \u20ac40/stay,1,0,0
Concierge,1,0,0
UE BOOM Bluetooth sound system,1,0,1
sauter oven,1,0,1
"42\"" HDTV with Apple TV",1,0,1
"54\"" TV with Netflix",1,0,1
LA VIE EN VERT shampoo,1,0,0
Natura Ekos toiletries,1,0,0
Oceanic induction stove,1,0,1
VIzio sound system with Bluetooth and aux,1,0,1
"52\"" HDTV with Chromecast",1,0,1
Golez conditioner,1,0,0
TresHemmes conditioner,1,0,1
L\u2019Occitane en Provence body soap,1,0,1
Aspar Botanical Body Cleanser  body soap,1,0,1
BRASTEMP stainless steel oven,1,0,0
Combin\u00e9 four et micro-ondes Whirlpool oven,1,0,0
INVERSE BRASTEMP refrigerator,1,0,1
En \u00e1reas comunes refrigerator,1,0,1
dyptique body soap,1,0,1
basico stainless steel gas stove,1,0,1
Zeytuni (Olive) shampoo,1,0,1
Healing Earth (Sulphate Free) shampoo,1,0,1
xiaomi induction stove,1,0,1
Bang & Olufson sound system,1,0,1
General Elektric refrigerator,1,0,0
sharp refrigerator,1,0,1
Valet parking \u2014 \u20ac40/day,1,0,0
Continental breakfast available \u2014 \u0e3f270 per person per day,1,0,0
Bose Surround Speaker System in All Rooms sound system with Bluetooth and aux,1,0,1
Bioblas Botanic Oils conditioner,1,0,1
sound system with Bluetooth and aux,1,0,1
L\u2019oreal shampoo,1,0,1
"112\"" HDTV with standard cable",1,0,1
palmolive body soap,1,0,1
AEG Glass 5 plate electric stove,1,0,1
HDTV with Roku,1,0,0
fait maison au karit\u00e9 body soap,1,0,1
Anker Bluetooth sound system,1,0,1
Kenwood sound system,1,0,0
Produit BIO body soap,1,0,1
Generic Vegan body soap,1,0,1
"43\"" HDTV with Netflix",1,0,1
Black and Decker stainless steel oven,1,0,1
Puracy plant based and natural/JR watkins body soap,1,0,0
ARISTON refrigerator,1,0,1
Stay Beautiful body soap,1,0,1
Large SMEG stove with both electric and gas plates & wide grill plate attatchment stainless steel gas stove,1,0,1
oven stainless steel oven,1,1,0
Boom Box Bluetooth sound system,1,0,1
Wifi \u2013 112 Mbps,1,0,1
Paid parking garage off premises \u2013 EUR10 per day,1,0,1
Biologico conditioner,1,0,1
Bang & Olufsen sound system with Bluetooth and aux,1,0,1
Fructis shampoo,1,0,1
face&body bar Bergman Kelly body soap,1,0,1
TREsemme shampoo,1,0,1
Ines de La Fressange  body soap,1,0,1
Care body soap,1,0,1
Wifi \u2013 870 Mbps,1,0,1
rossier stainless steel oven,1,0,0
Self-parking \u2014 R$50/stay,1,0,0
Paid parking garage on premises \u2013 4 spaces,1,0,0
LACANCHE gas stove,1,0,1
cook top de 2 bocas; de vidro gas stove,1,0,1
Tramontina Eletrico stainless steel oven,1,0,1
Marantz Bluetooth sound system,1,0,1
Paid parking lot off premises \u2013 MXN40 per hour,1,0,1
Ritual body soap,1,0,1
THESS body soap,1,0,1
Onsite restaurant \u2014 Chiquette,1,0,0
Portable hotplate electric stove,1,0,1
Tivoli sound system with Bluetooth and aux,1,0,1
Puracy plant based shampoo,1,0,1
Dove ou similar shampoo,1,0,1
Lavarino Cosso shampoo,1,0,1
Pets allowed,1,0,1
Head and Shoulders conditioner,1,0,1
Hermes body soap,1,0,1
novo conditioner,1,0,1
brasntemp refrigerator,1,0,0
candy refrigerator,1,0,1
Sound system with Bluetooth and aux,1,0,0
Alexa  Bluetooth sound system,1,0,0
neutral body soap,1,0,1
multiple hotel-size trials of high-end brands body soap,1,0,1
Dedicated workspace: table and desk,1,0,1
Country Life body soap,1,0,1
Hunter - Made naturally in Melbourne shampoo,1,0,1
Bose bluetooth speaker Bluetooth sound system,1,0,1
HDTV with Amazon Prime Video,1,0,0
IKEA Bluetooth sound system,1,0,1
sonus speakers Bluetooth sound system,1,0,1
Pool,1,0,0
 c/ Congelador Separado refrigerator,1,0,1
IKEA electric stove,1,0,1
Ao sair dever\u00e1 esvaziar o refrigerador e desliga-lo na tomada refrigerator,1,0,1
Aesops shampoo,1,0,1
Amika shampoo,1,0,0
PRO LINE refrigerator,1,0,1
Sono Bluetooth sound system,1,0,0
Sukrin body soap,1,0,1
Pineware stainless steel electric stove,1,0,0
Blendax,1,0,1
HDTV with standard cable,1,0,0
Lirio body soap,1,0,1
no frills brand body soap,1,0,1
Onsite bar \u2014 The Seville,1,0,0
MUHTEL\u0130F MARKA conditioner,1,0,1
Onsite bar \u2014 Mezcal joint,1,0,0
"81\"" TV with Roku",1,0,1
firstline oven,1,0,1
"47\"" HDTV with Chromecast",1,0,1
Bioblas Botanic Oils shampoo,1,0,1
Doss Bluetooth Speaker Bluetooth sound system,1,0,1
DeDietrich stainless steel oven,1,0,1
Kic refrigerator,1,0,1
FAURE induction stove,1,0,1
Dayton Audio Bluetooth sound system,1,0,1
Altus stainless steel oven,1,0,1
nous vous fournissons. shampoo,1,0,1
"17\"" TV with standard cable",1,0,0
"70\"" HDTV with Netflix",1,0,1
Ultimate Ears Bluetooth Speaker sound system,1,0,1
Consul 240 litros refrigerator,1,0,1
BOSE SOUNDTOUCH 20 Bluetooth sound system,1,0,1
Onsite restaurant \u2014 Azul on the Rooftop,1,0,0
Vestel stainless steel oven,1,0,1
Onsite restaurant \u2014 Granada Restaurant,1,0,0
Co Bigelow toiletries,1,0,0
gaggione oven,1,0,0
Gas stove smeg oven,1,0,0
"65\"" HDTV with standard cable",1,0,1
LG soundbar Bluetooth sound system,1,0,0
Wifi \u2013 29 Mbps,1,0,1
Smegg electric oven oven,1,0,0
Airplay sound system,1,0,1
Omnisens Paris conditioner,1,0,1
Dennon / Canton sound system with aux,1,0,0
TreSemme shampoo,1,0,1
Massage bed,1,0,0
Fridgedare stainless steel gas stove,1,0,0
"50\"" HDTV with Apple TV",1,0,1
varies  conditioner,1,0,1
Fountain,1,0,0
Onsite restaurant \u2014 La Cuisine de l\u2019E7,1,0,0
Paid parking lot on premises \u2013 ZAR80 per day,1,0,0
Samsung with water tap unit outside refrigerator,1,0,1
Clicks conditioner,1,0,1
Samsung sound system,1,0,1
ar\u00e7elik  refrigerator,1,0,0
Dr. Bronner All in one  shampoo,1,0,1
Self parking for a fee,1,0,0
organic paraben free  body soap,1,0,1
hoover stainless steel oven,1,0,0
"43\"" TV with standard cable",1,0,1
"22\"" HDTV",1,0,1
"32\"" TV with standard cable",1,0,0
HDTV with premium cable,1,0,1
Paid valet parking on premises \u2013 30 spaces,1,0,1
2 caixas de 45w cada,1,0,1
Sub-Zero Freezer Company,1,0,1
Mugler body soap,1,0,1
Omnisens conditioner,1,0,0
Trader Joe's conditioner,1,0,1
Onsite bar \u2014 Lobby Bar,1,0,0
Sonos sound system with Bluetooth and aux,1,0,0
04 bocas c/forno gas stove,1,0,1
"106\"" HDTV with Netflix",1,0,1
Centrex refrigerator,1,0,1
botanical extracts body soap,1,0,1
Lux ou Nivea body soap,1,0,1
WHIRPOOL refrigerator,1,0,1
grundig stainless steel oven,1,0,1
Pizza oven,1,0,0
Paid parking lot on premises \u2013 MXN60 per day,1,0,0
Fisher & Paykel oven,1,0,0
Xampu shampoo,1,0,1
Silverline stainless steel oven,1,0,1
"30\"" TV",1,0,1
"81\"" TV with Chromecast",1,0,1
the best conditioner,1,0,1
ASPAR botanically active products created with care and expertise by therapists at our award-winning Aurora spas. shampoo,1,0,0
Clothing storage: walk-in closet,1,0,1
teka stainless steel electric stove,1,0,1
dove body soap,1,0,1
"20\"" TV",1,0,1
Induction cooker induction stove,1,0,1
Free parking garage on premises \u2013 10 spaces,1,0,0
Hotel style sample size upon check in body soap,1,0,1
LG sound system with aux,1,0,1
hotelin markas\u0131 conditioner,1,0,1
4 burner stainless steel gas stove,1,0,1
Courtyard,1,0,0
Tennis court,1,0,0
Ar condicionado de janela em todos os quartos conditioner,1,0,1
Google Home Bluetooth sound system,1,0,0
dove  body soap,1,0,1
"\""thankyou\",1,0,1
Siri google home Alexa Samsung 8K sound system with Bluetooth and aux,1,0,0
Occitane body soap,1,0,0
Paid parking garage off premises \u2013 AUD30 per stay,1,0,1
3m conditioner,1,0,1
Ricitos de oro body soap,1,0,1
Pears body soap,1,0,0
Natural soap body soap,1,0,0
"70\"" HDTV with premium cable",1,0,1
Australia. conditioner,1,0,1
Mini-Four oven,1,0,1
Breville Convection Oven stainless steel oven,1,0,1
Unknown - you can plug right into phone sound system with aux,1,0,1
duplex refrigerator,1,0,0
Paid parking garage on premises \u2013 680 spaces,1,0,1
One Samsung energy saving fridge/freezer with digital invertor and one Bosch energy saving full fridge.  refrigerator,1,0,1
Healing earth conditioner,1,0,0
Pentene conditioner,1,0,1
Breakfast buffet available \u2014 \u20ac20 per person per day,1,0,0
AEG electric stove,1,0,0
BOSE 700 Bluetooth sound system,1,0,1
Paid parking garage off premises \u2013 BRL20 per day,1,0,1
eletrico de 2 bocas electric stove,1,0,1
Com congelador \u00e0 parte refrigerator,1,0,0
"57\"" HDTV with Amazon Prime Video",1,0,1
5 amazon alexa  Bluetooth sound system,1,0,1
Guesthouse  shampoo,1,0,1
Paid parking lot on premises \u2013 3 spaces,1,0,0
Indesit stainless steel gas stove,1,0,0
Officine del Mugello (vegan ok) shampoo,1,0,0
Organic neutral body soap,1,0,1
Venax- 2 bocas.  gas stove,1,0,1
BOSE sound system,1,0,1
brastemp cook top gas stove,1,0,1
Email us your choice we keep dove body soap,1,0,0
electrolux stainless steel oven,1,0,0
"81\"" HDTV with Roku",1,0,0
kalyan Natural cleansing Bar body soap,1,0,1
enviro care shampoo ,1,0,1
variadas shampoo,1,0,1
NAD sound system with Bluetooth and aux,1,0,1
Mellerware induction stove,1,0,1
Breakfast buffet available \u2014 \u20ac17 per person per day,1,0,0
Brastemp frost free 440 litros refrigerator,1,0,0
JBL Bluetooth sound system,1,0,1
bose Bluetooth sound system,1,0,1
Consul 4 bocas stainless steel gas stove,1,0,0
Bang&Olufsen sound system,1,0,1
Francis,1,0,1
Mixed brands body soap,1,0,1
Subzero refrigerator,1,0,1
Org\u00e1nico conditioner,1,0,1
"30\"" TV with Netflix",1,0,0
Palmolive body soap,1,0,1
Function of Beauty shampoo,1,1,0
Onsite restaurant \u2014 Restaurante Cafe Le Soleil,1,0,0
Dove Deep Moisture body soap,1,0,1
Divers conditioner,1,0,1
usually Dove body soap,1,0,1
Paid parking garage on premises \u2013 EUR5 per day,1,0,1
Cooktop  5 bocas Brastemp gas stove,1,0,1
Tresemme body soap,1,0,1
Omnisens body soap,1,0,0
Head and Shoulder 2 in 1 shampoo,1,0,1
"41\"" HDTV with Netflix",1,0,1
"44\"" HDTV with Netflix",1,0,0
All inclusive,1,0,0
Fisher and Paykal refrigerator,1,0,0
rosa body soap,1,0,1
Khiels body soap,1,0,1
Grill seulement oven,1,0,1
Dedicated workspace: desk and table,1,0,0
Paid street parking off premises \u2013 EUR2 per day,1,0,1
Hote style sample size upon check in conditioner,1,0,1
Paid parking lot off premises \u2013 $7 per day,1,0,1
Protex body soap,1,0,1
"52\"" HDTV with Apple TV",1,0,0
Self-parking \u2014 \u20ac25/stay,1,0,0
Paid valet parking on premises \u2013 $66 per day,1,0,1
Top plate induction induction stove,1,0,1
02 bocas c/forno gas stove,1,0,1
"48\"" HDTV with standard cable",1,0,1
De Dietrich stainless steel oven,1,0,1
Paid street parking off premises \u2013 BRL30 per stay,1,0,1
Samsung sound system with Bluetooth and aux,1,0,1
Ar\u00e7elik stainless steel oven,1,0,1
Americana refrigerator,1,0,1
Currently 2 plate stove stainless steel electric stove,1,0,0
"65\"" HDTV with Netflix",1,0,1
Anko oven,1,0,1
SE LOS PUEDO PRESTAR SI LO SOLICITAN.  sound system with aux,1,0,1
A la r\u00e9ception refrigerator,1,0,1
varies  body soap,1,0,1
eletrolux frost free refrigerator,1,0,0
S\u0130EMENS stainless steel oven,1,0,0
Appelles toiletries,1,0,0
Onsite restaurant \u2014 Gleason's Tavern,1,0,0
variable shampoo,1,0,1
candy stainless steel oven,1,0,1
microondas oven,1,0,0
Yaber v6 Movie Projector with built in Speaker Bluetooth sound system,1,0,1
ankastre stainless steel oven,1,0,1
Teka electric stove,1,0,1
A\u00e7elik refrigerator,1,0,1
Siemens stainless steel electric stove,1,0,1
mekappa stainless steel oven,1,0,0
Onsite restaurant \u2014 Scarpetta,1,0,0
Gliss shampoo,1,0,0
bluetooth Bluetooth sound system,1,0,0
"14\"" TV",1,0,1
Castille Soap body soap,1,0,0
Gas Hob only until electrical box upgrade gas stove,1,0,1
yves rocher body soap,1,0,1
Hi-FI CD and radio sound system,1,0,1
Wifi \u2013 135 Mbps,1,0,0
"55\"" HDTV with Roku",1,0,1
Paid parking garage off premises \u2013 BRL40 per day,1,0,1
Provided by The Taj body soap,1,0,1
Gg gas stove,1,0,1
ABC body soap,1,0,0
Heated floor,1,0,0
Beko stainless steel oven,1,0,1
Dietrich oven,1,0,0
Eletrolix inox 2 portas refrigerator,1,0,1
frigobar refrigerator,1,0,1
Wifi \u2013 900 Mbps,1,0,1
Enceinte Bose  Bluetooth sound system,1,0,1
"74\"" HDTV with Chromecast",1,0,0
cooktop \u00e0 g\u00e1s gas stove,1,0,1
Game console: Nintendo Switch and PS4,1,0,0
Protect body soap,1,0,1
Ikea oven microwave combo stainless steel oven,1,0,1
ok. refrigerator,1,0,1
sharp stainless steel oven,1,0,1
Eco shampoo,1,0,1
Beach,1,0,0
Sony refrigerator,1,0,0
"40\"" TV with standard cable",1,0,1
Philips sound system with aux,1,0,1
Pantene pro-v,1,0,1
4 bocas gas stove,1,0,1
Consul Novo gas stove,1,0,1
Small under counter refrigerator,1,0,1
Arcelik refrigerator,1,0,0
IEM refrigerator,1,1,0
Midea Induction single hotplate induction stove,1,0,1
Large Toaster Oven. oven,1,0,1
Dop,1,0,1
"14\"" TV with standard cable",1,0,1
Palmolive ou similar. body soap,1,0,1
SMEG & Siemens stainless steel oven,1,0,1
marantz Amp,1,0,1
Fog\u00e3o industrial 2 bocas gas stove,1,0,1
Earth Essentials conditioner,1,0,0
Dial,1,0,1
Ar\u0131 oven,1,0,1
whirlpool stainless steel gas stove,1,0,1
Self-parking \u2014 $45/day,1,0,0
Cooked-to-order breakfast available \u2014 $25 per person per day,1,0,0
consul frosfree refrigerator,1,0,0
Aspar Botanical Hair Conditioner  conditioner,1,0,1
para cada h\u00f3spede para que tenham uma op\u00e7\u00e3o na chegada caso n\u00e3o estejam trazendo o seu sabonete pessoal.  body soap,1,0,1
2 Burner Hot plate electric stove,1,0,1
Elletrolux,1,0,1
Wifi \u2013 30 Mbps,1,0,1
Oster stainless steel oven,1,0,1
petit marseillais conditioner,1,0,1
Soap body soap,1,0,0
Clean conditioner,1,0,1
Dr Bronner's Castile Soap body soap,1,0,0
Game console: Nintendo Wii and PS4,1,0,1
Schneider oven,1,0,1
NAD sound system with aux,1,0,1
Arbonne conditioner,1,0,0
Counter top induction stove,1,0,1
"49\"" TV",1,0,0
Bosch oven and gas hob stainless steel oven,1,0,1
Clothing storage: wardrobe and closet,1,0,0
"55\"" HDTV with Chromecast",1,0,1
Natura TodoDia conditioner,1,0,1
Shikai - natural plant based shampoo,1,0,0
Sholtes stainless steel gas stove,1,0,0
Lavarino Cosso body soap,1,0,1
Lux Luxo,1,0,1
Lemongrass and Jasmin-Mint Hotel fragrance selected products conditioner,1,0,1
organic body soap,1,0,1
Thomson avec partie cong\u00e9lateur. refrigerator,1,0,1
"42\"" HDTV with standard cable",1,0,1
LG smart Tech refrigerator,1,0,1
Sukin Conditioner conditioner,1,0,1
Maxima stainless steel gas stove,1,0,1
"32\"" HDTV with Roku",1,0,1
Sonos Wireless Speakers Bluetooth sound system,1,0,1
Protex shampoo,1,0,1
Paid parking garage on premises \u2013 30 spaces,1,0,0
Free parking on premises \u2013 6 spaces,1,0,1
Integrated Whirlpool refrigerator,1,0,1
Self-parking \u2014 R$40/stay,1,0,0
Falcon gas stove,1,0,1
Wifi \u2013 21 Mbps,1,0,1
Aesop shampoo,1,0,1
Paid parking garage on premises \u2013 BRL20 per day,1,0,1
PANASONIC sound system,1,0,1
Siemens oven,1,0,1
Paid parking garage on premises \u2013 10 spaces,1,0,1
Philips (Subwoofer + 2 speakers) sound system with aux,1,0,1
Mini four oven,1,0,1
URIAGE GEL DERMATOLOGIQUE body soap,1,0,1
Radio sound system,1,0,0
seda shampoo,1,0,1
liquido  body soap,1,0,1
\u0e49house brand shampoo,1,0,0
Falmec stainless steel oven,1,0,1
franke refrigerator,1,0,0
Free washer\u2013In unit,1,0,0
Dr. Bronner All in one body soap,1,0,1
Poker table,1,0,0
Valet parking \u2014 $65/day,1,0,0
Petit Marseillais body soap,1,0,1
luxury body soap,1,0,1
Desk,1,0,0
"62\"" HDTV with Amazon Prime Video",1,0,1
teka stainless steel oven,1,0,1
IKEA refrigerator,1,0,1
Philco stainless steel oven,1,0,1
"140\"" HDTV",1,0,0
"58\"" HDTV with Chromecast",1,0,1
Wifi \u2013 4 Mbps,1,0,1
L\u00b4Occitane  conditioner,1,0,1
.. conditioner,1,0,0
ORGANIC body soap,1,0,0
Mellerware stainless steel electric stove,1,0,0
Power Airfryer 360 stainless steel oven,1,0,1
Saltwater pool with poolside bar \u2014 indoor and outdoor,1,0,0
